Customer ID,Contract Type,Monthly Charges,Total Charges,Tenure,Internet Service,Payment Method,Gender,Senior Citizen,Online Security,Online Backup,Tech Support,Streaming TV,Streaming Movies,Churn
Cust000,Month-to-Month,63.55402001866508,578.1047608984499,56,None,Bank transfer,Female,Yes,Yes,Yes,Yes,No,Yes,No
Cust001,Two-Year,33.29311282579798,975.0683282113915,23,DSL,Bank transfer,Male,No,Yes,No,Yes,No,Yes,No
Cust002,One-Year,67.60395702011927,548.5838877906994,11,DSL,Mailed check,Male,Yes,No,No,No,No,Yes,No
Cust003,One-Year,72.21171490567646,1228.0167891068809,64,Fiber optic,Mailed check,Female,No,No,Yes,No,Yes,Yes,Yes
Cust004,Month-to-Month,71.1958089586208,1024.731925880351,8,None,Mailed check,Female,No,No,No,Yes,No,No,Yes
Cust005,Month-to-Month,81.61561451109243,562.7345501605208,56,DSL,Bank transfer,Male,No,No,No,No,Yes,No,No
Cust006,Month-to-Month,76.67844309097808,907.237276885041,60,Fiber optic,Bank transfer,Female,No,Yes,No,No,No,Yes,No
Cust007,Two-Year,69.18360158456873,774.353078322825,10,DSL,Electronic check,Female,Yes,No,Yes,No,Yes,Yes,No
Cust008,One-Year,58.59668577082706,1095.752353125754,39,Fiber optic,Credit card,Female,No,Yes,No,No,No,No,No
Cust009,One-Year,26.780781329680174,1402.1351338069435,28,Fiber optic,Electronic check,Male,No,No,No,No,No,Yes,No
Cust010,Month-to-Month,68.59236438265171,437.4482591062766,49,Fiber optic,Credit card,Female,No,No,Yes,No,No,No,No
Cust011,Two-Year,64.15375374326223,1034.507823744225,36,None,Electronic check,Female,No,Yes,No,Yes,No,Yes,Yes
Cust012,Two-Year,65.43157674390747,951.9601613300078,13,None,Bank transfer,Male,No,No,No,Yes,No,Yes,No
Cust013,Month-to-Month,34.46502848359381,1201.4020229351397,36,None,Electronic check,Female,No,No,No,No,No,No,No
Cust014,Month-to-Month,38.37886919183475,1063.9589884713068,26,DSL,Credit card,Female,Yes,No,Yes,Yes,Yes,Yes,Yes
Cust015,Month-to-Month,81.06305706665808,774.4092004783543,4,Fiber optic,Mailed check,Male,No,No,No,No,Yes,Yes,No
Cust016,Month-to-Month,59.2088969228669,904.2838193000146,64,DSL,Credit card,Male,No,No,Yes,No,Yes,Yes,No
Cust017,One-Year,73.63001394745248,761.1922429589533,38,Fiber optic,Mailed check,Female,Yes,Yes,No,No,Yes,No,No
Cust018,Month-to-Month,60.56636752260923,1322.8021415795795,22,Fiber optic,Bank transfer,Female,No,Yes,Yes,No,Yes,No,No
Cust019,Month-to-Month,60.5951227899149,1006.3934946015827,2,Fiber optic,Credit card,Male,No,No,No,No,Yes,Yes,Yes
Cust020,One-Year,78.76567611951995,1570.357205725902,31,Fiber optic,Electronic check,Male,No,No,No,Yes,Yes,Yes,No
Cust021,Month-to-Month,49.679105435652524,981.8017558556138,11,None,Credit card,Female,No,No,Yes,No,No,No,No
Cust022,Month-to-Month,61.92241553881967,787.4779699268612,46,DSL,Mailed check,Female,No,No,No,No,No,Yes,No
Cust023,Month-to-Month,50.75449422589915,545.8856822161518,62,Fiber optic,Bank transfer,Female,No,No,No,No,Yes,No,No
Cust024,Month-to-Month,51.31007545135369,459.0580971232165,69,DSL,Electronic check,Male,Yes,No,Yes,No,Yes,Yes,No
Cust025,One-Year,53.816557530627215,524.759217098353,64,DSL,Credit card,Female,No,No,No,No,Yes,Yes,No
Cust026,Month-to-Month,64.44267543267426,1080.137995303445,10,DSL,Mailed check,Male,Yes,No,No,No,Yes,No,Yes
Cust027,One-Year,50.42502756673045,1152.6175069689803,40,None,Electronic check,Male,No,No,Yes,No,No,Yes,No
Cust028,One-Year,85.11512251147042,525.6427893903599,24,None,Bank transfer,Male,No,No,Yes,No,Yes,No,No
Cust029,Month-to-Month,42.107853955609926,1268.5114942228347,44,None,Electronic check,Female,No,No,Yes,No,Yes,Yes,No
Cust030,One-Year,56.26256711677282,855.0816844949682,60,None,Bank transfer,Female,No,Yes,Yes,No,No,Yes,No
Cust031,Month-to-Month,51.2053788345165,1044.0379035956648,62,DSL,Electronic check,Female,No,No,No,No,No,No,No
Cust032,Month-to-Month,88.93955768707465,1483.6661884766272,17,DSL,Credit card,Male,No,No,Yes,Yes,Yes,Yes,No
Cust033,Two-Year,63.931095530231495,1269.0517947596595,65,Fiber optic,Mailed check,Female,No,No,No,No,No,No,No
Cust034,Two-Year,80.6368907893727,919.4408056282502,57,Fiber optic,Credit card,Male,No,No,No,No,Yes,Yes,No
Cust035,Two-Year,30.288792539260562,732.6423323754138,55,Fiber optic,Credit card,Male,No,No,Yes,No,Yes,No,No
